Lunation,New Moon,First Quarter,Full Moon,Third Quarter,Duration
1225,02-Jan,09-Jan,17-Jan,25-Jan,29d 11h 12m
1226,01-Feb,08-Feb,16-Feb,23-Feb,29d 11h 49m
1227,02-Mar,10-Mar,18-Mar,25-Mar,29d 12h 50m
1228,01-Apr,09-Apr,16-Apr,23-Apr,29d 14h 04m
1229,30-Apr,08-May,16-May,22-May,29d 15h 02m
1230,30-May,07-Jun,14-Jun,21-Jun,29d 15h 22m
1231,28-Jun,06-Jul,13-Jul,20-Jul,29d 15h 03m
1232,28-Jul,05-Aug,11-Aug,19-Aug,29d 14h 22m
1233,27-Aug,03-Sep,10-Sep,17-Sep,29d 13h 37m
1234,25-Sep,02-Oct,09-Oct,17-Oct,29d 12h 54m
1235,25-Oct,01-Nov,08-Nov,16-Nov,29d 12h 09m
1236,23-Nov,30-Nov,08-Dec,16-Dec,29d 11h 20m
1237,23-Dec,29-Dec,NA,NA,29d 10h 36m
